alias,code,emoji
"man_singer","\U0001f468\u200d\U0001f3a4","👨‍🎤"
"teacher","\U0001f9d1\u200d\U0001f3eb","🧑‍🏫"
"woman_teacher","\U0001f469\u200d\U0001f3eb","👩‍🏫"
"man_teacher","\U0001f468\u200d\U0001f3eb","👨‍🏫"
"factory_worker","\U0001f9d1\u200d\U0001f3ed","🧑‍🏭"
"woman_factory_worker","\U0001f469\u200d\U0001f3ed","👩‍🏭"
"man_factory_worker","\U0001f468\u200d\U0001f3ed","👨‍🏭"
"technologist","\U0001f9d1\u200d\U0001f4bb","🧑‍💻"
"woman_technologist","\U0001f469\u200d\U0001f4bb","👩‍💻"
"man_technologist","\U0001f468\u200d\U0001f4bb","👨‍💻"
"office_worker","\U0001f9d1\u200d\U0001f4bc","🧑‍💼"
"woman_office_worker","\U0001f469\u200d\U0001f4bc","👩‍💼"
"man_office_worker","\U0001f468\u200d\U0001f4bc","👨‍💼"
"mechanic","\U0001f9d1\u200d\U0001f527","🧑‍🔧"
"woman_mechanic","\U0001f469\u200d\U0001f527","👩‍🔧"
"man_mechanic","\U0001f468\u200d\U0001f527","👨‍🔧"
"scientist","\U0001f9d1\u200d\U0001f52c","🧑‍🔬"
"woman_scientist","\U0001f469\u200d\U0001f52c","👩‍🔬"
"man_scientist","\U0001f468\u200d\U0001f52c","👨‍🔬"
"artist","\U0001f9d1\u200d\U0001f3a8","🧑‍🎨"
"woman_artist","\U0001f469\u200d\U0001f3a8","👩‍🎨"
"man_artist","\U0001f468\u200d\U0001f3a8","👨‍🎨"
"firefighter","\U0001f9d1\u200d\U0001f692","🧑‍🚒"
"woman_firefighter","\U0001f469\u200d\U0001f692","👩‍🚒"
"man_firefighter","\U0001f468\u200d\U0001f692","👨‍🚒"
"pilot","\U0001f9d1\u200d\u2708\ufe0f","🧑‍✈️"
"woman_pilot","\U0001f469\u200d\u2708\ufe0f","👩‍✈️"
"man_pilot","\U0001f468\u200d\u2708\ufe0f","👨‍✈️"
"astronaut","\U0001f9d1\u200d\U0001f680","🧑‍🚀"
"woman_astronaut","\U0001f469\u200d\U0001f680","👩‍🚀"
"man_astronaut","\U0001f468\u200d\U0001f680","👨‍🚀"
"judge","\U0001f9d1\u200d\u2696\ufe0f","🧑‍⚖️"
"woman_judge","\U0001f469\u200d\u2696\ufe0f","👩‍⚖️"
"man_judge","\U0001f468\u200d\u2696\ufe0f","👨‍⚖️"
"person_with_veil","\U0001f470","👰"
"woman_with_veil","\U0001f470\u200d\u2640\ufe0f","👰‍♀️"
"bride_with_veil","\U0001f470\u200d\u2640\ufe0f","👰‍♀️"
"man_with_veil","\U0001f470\u200d\u2642\ufe0f","👰‍♂️"
"person_in_tuxedo","\U0001f935","🤵"
"woman_in_tuxedo","\U0001f935\u200d\u2640\ufe0f","🤵‍♀️"
"man_in_tuxedo","\U0001f935\u200d\u2642\ufe0f","🤵‍♂️"
"princess","\U0001f478","👸"
"prince","\U0001f934","🤴"
"superhero","\U0001f9b8","🦸"
"woman_superhero","\U0001f9b8\u200d\u2640\ufe0f","🦸‍♀️"
"man_superhero","\U0001f9b8\u200d\u2642\ufe0f","🦸‍♂️"
"supervillain","\U0001f9b9","🦹"
"woman_supervillain","\U0001f9b9\u200d\u2640\ufe0f","🦹‍♀️"
"man_supervillain","\U0001f9b9\u200d\u2642\ufe0f","🦹‍♂️"
"ninja","\U0001f977","🥷"
"mx_claus","\U0001f9d1\u200d\U0001f384","🧑‍🎄"
"mrs_claus","\U0001f936","🤶"
"mother_christmas","\U0001f936","🤶"
"santa","\U0001f385","🎅"
"mage","\U0001f9d9","🧙"
"woman_mage","\U0001f9d9\u200d\u2640\ufe0f","🧙‍♀️"
"man_mage","\U0001f9d9\u200d\u2642\ufe0f","🧙‍♂️"
"elf","\U0001f9dd","🧝"
"woman_elf","\U0001f9dd\u200d\u2640\ufe0f","🧝‍♀️"
"man_elf","\U0001f9dd\u200d\u2642\ufe0f","🧝‍♂️"
"vampire","\U0001f9db","🧛"
"woman_vampire","\U0001f9db\u200d\u2640\ufe0f","🧛‍♀️"
"man_vampire","\U0001f9db\u200d\u2642\ufe0f","🧛‍♂️"
